expected_intent,predicted_intent,expected_decision,predicted_decision,reply
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,payment_problem,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
lost_item,payment_problem,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,promo_or_coupon,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,trip_or_pickup,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,trip_or_pickup,escalate,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.
other_or_unclear,lost_item,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,other_or_unclear,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,trip_or_pickup,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
other_or_unclear,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,trip_or_pickup,escalate,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.
payment_problem,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
payment_problem,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,payment_problem,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,account_or_login,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,account_or_login,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
promo_or_coupon,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
promo_or_coupon,promo_or_coupon,auto-handle,auto-handle,"I can help check why the promotion did not apply. Please review the promotion's eligibility and trip requirements, then share the trip details with support if it still appears incorrect."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
refund_request,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
safety_or_driver_conduct,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,trip_or_pickup,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,trip_or_pickup,auto-handle,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.
trip_or_pickup,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
trip_or_pickup,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,trip_or_pickup,auto-handle,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.
trip_or_pickup,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,payment_problem,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
