expected_intent,predicted_intent,expected_decision,predicted_decision,reply,failure_mode,hypothesis
refund_request,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
refund_request,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
refund_request,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.,intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,payment_problem,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,refund_request,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
trip_or_pickup,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
